,STATE,MONTH,IVM,CUMULATIVE_IVM,CFR,DEATHS,CASES_PER_1000,CASES,POPULATION,VAX,CUMULATIVE_VAX,IVM/CASE,DEATHS_PER_1000
153,LA PAMPA,2020-06-01,9.707,33.259,0.1666666666666666,1,0.0189310279548179,6,316940,0.0,0.0,512756.0966666667,3.155171325802991e-06
155,LA PAMPA,2020-08-01,9.556,54.252,0.0254237288135593,3,0.3723102164447529,118,316940,0.0,0.0,25666.768135593218,9.465513977408973e-06
156,LA PAMPA,2020-09-01,13.657,67.909,0.020033388981636,12,1.889947624155992,599,316940,0.0,0.0,7226.126176961603,3.7862055909635894e-05
157,LA PAMPA,2020-10-01,73.779,141.688,0.0142198308993082,37,8.209755789739383,2602,316940,0.0,0.0,8986.74721752498,0.00011674133905471067
158,LA PAMPA,2020-11-01,212.346,354.034,0.021216973578863,53,7.881617971855872,2498,316940,0.0,0.0,26941.930040032024,0.00016722408026755852
159,LA PAMPA,2020-12-01,633.615,987.649,0.0179771200290539,99,17.37552849119707,5507,316940,2.473654319,2.47365432,36465.9411839477,0.0003123619612544961
160,LA PAMPA,2021-01-01,2989.832,3977.481,0.020985401459854,115,17.290338865400393,5480,316940,10.01451379,12.4881681,172919.2251970803,0.000362844702467344
161,LA PAMPA,2021-02-01,872.447,4849.928,0.0134048257372654,30,7.061273427147095,2238,316940,34.48602259,46.9741907,123553.77666666667,9.465513977408973e-05
162,LA PAMPA,2021-03-01,399.033,5248.961,0.0118058592041976,27,7.215876822111441,2287,316940,70.37609642,117.350287,55299.30871010057,8.518962579668077e-05
163,LA PAMPA,2021-04-01,563.598,5812.559,0.0155817678753458,107,21.666561494289137,6867,316940,133.9654193,251.315706,26012.341651376144,0.00033760333186092005
164,LA PAMPA,2021-05-01,1087.484,6900.043,0.0150344414495357,251,52.675585284280935,16695,316940,156.8940493,408.209756,20644.93434920635,0.0007919480027765508
165,LA RIOJA,2020-03-01,1.69,1.69,0.25,1,0.0120537476608195,4,331847,0.0,0.0,140205.35749999998,3.0134369152048985e-06
166,LA RIOJA,2020-04-01,7.553,9.243,0.0519480519480519,8,0.4640692849415544,154,331847,0.0,0.0,16275.586954545453,2.4107495321639188e-05
